ErrorCode,LogonError
650056,Misconfigured application
650057,Invalid resource
67003,ActorNotValidServiceIdentity
70000,InvalidGrant
700003,InvalidGrantDeviceNotFound
700005,InvalidGrantRedeemAgainstWrongTenant
70001,UnauthorizedClient
700011,UnauthorizedClientAppNotFoundInOrgIdTenant
7000112,UnauthorizedClientApplicationDisabled
700016,UnauthorizedClientDoesNotMatchRequest
70002,InvalidClient
700020,InteractionRequired
7000215,Invalid client secret is provided
700022,InvalidMultipleResourcesScope
7000222,InvalidClientSecretExpiredKeysProvided
700023,InvalidResourcelessScope
700025,InvalidClientPublicClientWithCredential
700027,Client assertion failed signature validation
70003,UnsupportedGrantType
700030,Invalid certificate
70004,InvalidRedirectUri
70005,UnsupportedResponseType
700054,UnsupportedResponseTypeImplicitFlowIdTokenNotAllowed
70007,UnsupportedResponseMode
70008,ExpiredOrRevokedGrant
700082,ExpiredOrRevokedGrantInactiveToken
70011,InvalidScope
70012,MsaServerError
70016,AuthorizationPending
70018,BadVerificationCode
70019,CodeExpired
700229,ForbiddenTokenType
70037,RemoteAuthApproveEntropyInvalid
70043,The refresh token has expired or is invalid due to sign-in frequency checks by conditional access
70044,SsoArtifactExpiredDueToConditionalAccess
75001,BindingSerializationError
75003,UnsupportedBindingError
75005,Saml2MessageInvalid
7500514,A supported type of SAML response was not found
75008,RequestDeniedError
75011,NoMatchedAuthnContextInOutputClaims
75016,Saml2AuthenticationRequestInvalidNameIDPolicy
76021,ApplicationRequiresSignedRequests
76026,RequestIssueTimeExpired
80001,OnPremiseStoreIsNotAvailable
80002,OnPremisePasswordValidatorRequestTimedout
80005,OnPremisePasswordValidatorUnpredictableWebException
80007,OnPremisePasswordValidatorErrorOccurredOnPrem
80010,OnPremisePasswordValidationEncryptionException
80012,OnPremisePasswordValidationAccountLogonInvalidHours
80013,OnPremisePasswordValidationTimeSkew
80014,OnPremisePasswordValidationAuthenticationAgentTimeout
81004,DesktopSsoIdentityInTicketIsNotAuthenticated
81005,DesktopSsoAuthenticationPackageNotSupported
81006,DesktopSsoNoAuthorizationHeader
81007,DesktopSsoTenantIsNotOptIn
81009,DesktopSsoAuthorizationHeaderValueWithBadFormat
81010,DesktopSsoAuthTokenInvalid
81011,DesktopSsoLookupUserBySidFailed
81012,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn
81014,DesktopSsoAuthTokenExpired
90002,InvalidTenantName
90004,InvalidRequestFormat
90005,InvalidRequestWithMultipleRequirements
90006,ExternalServerRetryableError
90007,InvalidSessionId
90008,TokenForItselfRequiresGraphPermission
90009,TokenForItselfMissingIdenticalAppIdentifier
90010,NotSupported
90012,RequestTimeout
90013,InvalidUserInput
90014,MissingRequiredField
90015,QueryStringTooLong
90016,MissingRequiredClaim
90019,MissingTenantRealm
90022,AuthenticatedInvalidPrincipalNameFormat
90023,InvalidRequest
9002313,InvalidRequest
90024,RequestBudgetExceededError
90033,MsodsServiceUnavailable
90036,MsodsServiceUnretryableFailure
90038,NationalCloudTenantRedirection
90043,NationalCloudAuthCodeRedirection
90051,InvalidNationalCloudId
90055,TenantThrottlingError
90056,BadResourceRequest
900561,BadResourceRequestInvalidRequest
90072,PassThroughUserMfaError
90081,OrgIdWsFederationMessageInvalid
90082,OrgIdWsFederationNotSupported
90084,OrgIdWsFederationGuestNotAllowed
90085,OrgIdWsFederationSltRedemptionFailed
90086,OrgIdWsTrustDaTokenExpired
90087,OrgIdWsFederationMessageCreationFromUriFailed
90090,GraphRetryableError
90091,GraphServiceUnreachable
90092,GraphNonRetryableError
90093,GraphUserUnauthorized
90094,AdminConsentRequired
90095,AdminConsentRequiredRequestAccess
900971,No reply address provided
90100,InvalidRequestParameter
90101,InvalidEmailAddress
90102,InvalidUriParameter
90107,InvalidXml
90114,InvalidExpiryDate
90117,InvalidRequestInput
90119,InvalidUserCode
90120,InvalidDeviceFlowRequest
90121,InvalidEmptyRequest
90123,IdentityProviderAccessDenied
90124,V1ResourceV2GlobalEndpointNotSupported
90125,DebugModeEnrollTenantNotFound
90126,DebugModeEnrollTenantNotInferred
90130,NonConvergedAppV2GlobalEndpointNotSupported
90135,CmsiAccessDenied
